   Step           Loss        Dev.Err       Dev.Para       Time [s]    H    M    S
      1    3.41081E-03    4.94112E+02    3.32387E-01    1.28419E+02    0    2    8
      2    3.41081E-03    4.08303E+02    2.75290E-01    3.66219E+02    0    6    6
      3    4.73584E-05    1.14919E+02    2.10795E-01    5.79610E+02    0    9   39
      4    4.73584E-05    2.25277E+02    6.76593E-02    8.68748E+02    0   14   28
      5    4.73584E-05    1.58660E+02    4.42735E-02    1.11467E+03    0   18   34
      6    3.85971E-05    1.29917E+00    3.92494E-02    1.36060E+03    0   22   40
      7    2.12570E-05    1.65297E+01    3.70719E-02    1.58007E+03    0   26   20
      8    1.51650E-05    1.46409E+01    2.34833E-02    1.79350E+03    0   29   53
      9    1.51650E-05    2.71049E-01    1.68367E-02    2.07352E+03    0   34   33
     10    1.51650E-05    1.49298E+01    1.27284E-02    2.25723E+03    0   37   37
     11    6.44773E-06    2.00263E-01    1.32574E-02    2.41964E+03    0   40   19
     12    6.44773E-06    1.42623E-01    6.49271E-03    2.60429E+03    0   43   24
     13    6.44773E-06    1.93043E-01    5.67298E-03    2.78730E+03    0   46   27
     14    6.44773E-06    2.60411E-05    5.00047E-03    2.90241E+03    0   48   22
     15    6.11659E-06    1.58644E-05    4.71034E-03    3.00306E+03    0   50    3
     16    4.56639E-06    1.04398E-03    2.85265E-03    3.10856E+03    0   51   48
     17    4.56639E-06    1.51581E-05    2.91437E-03    3.21632E+03    0   53   36
     18    4.56639E-06    9.47368E-06    3.00357E-03    3.30824E+03    0   55    8
     19    4.40126E-06    1.63968E-05    1.73930E-03    3.40367E+03    0   56   43
     20    4.40126E-06    3.29469E-06    1.82659E-03    3.49107E+03    0   58   11
     21    4.33104E-06    2.61989E-06    1.29657E-03    3.58433E+03    0   59   44
     22    4.23926E-06    1.29579E-06    8.21611E-04    3.67346E+03    1    1   13
Computation finished in    1 hour    1 min   13 sec
